Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level,Address,Tenure Lease Period,Tenure From,Tenure Due,Tenure Remaining,Latitude,Longitude,Planning Area,Region
SUNSHINE PLAZA,BENCOOLEN STREET,Office,850000,484.38,"1,755",Oct-24,Strata,45,"18,889",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05,"SUNSHINE PLAZA, BENCOOLEN STREET",99,1997,2096,72,1.30034762081549,103.851046168708,Rochor,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2318000,"1,065.64","2,175",Oct-24,Strata,99,"23,414",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
WOODS SQUARE,WOODLANDS SQUARE,Office,1230000,559.73,"2,197",Oct-24,Strata,52,"23,654",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1120000,635.08,"1,764",Oct-24,Strata,59,"18,983",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",06 to 10,"SUNSHINE PLAZA, BENCOOLEN STREET",99,1997,2096,72,1.30034762081549,103.851046168708,Rochor,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,1763580,968.76,"1,820",Oct-24,Strata,90,"19,595",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1150000,667.37,"1,723",Oct-24,Strata,62,"18,548",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05,"SUNSHINE PLAZA, BENCOOLEN STREET",99,1997,2096,72,1.30034762081549,103.851046168708,Rochor,Central
111 SOMERSET,SOMERSET ROAD,Office,2200000,785.77,"2,800",Oct-24,Strata,73,"30,137",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",11 to 15,"111 SOMERSET, SOMERSET ROAD",99,1975,2074,50,1.30020625685959,103.837317132796,Orchard,Central
SOUTHBANK,NORTH BRIDGE ROAD,Office,1688888,"1,011.82","1,669",Oct-24,Strata,94,"17,967",99 yrs lease commencing from 2006,7," Middle Road, Golden Mile",16 to 20,"SOUTHBANK, NORTH BRIDGE ROAD",99,2006,2105,81,1.30631203112933,103.864308334438,Kallang,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,3500000,"2,357.32","1,485",Oct-24,Strata,219,"15,982",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",11 to 15,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1280000,731.95,"1,749",Oct-24,Strata,68,"18,824",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05,"SUNSHINE PLAZA, BENCOOLEN STREET",99,1997,2096,72,1.30034762081549,103.851046168708,Rochor,Central
